key,value
ISO3,AUS
HDR Country Name,Australia
Human Development Groups,Very High
UNDP Developeing Regions,
"Gross National Income Per Capita, male (2021 PPP$) (2007)",60388.94242
"Gross National Income Per Capita, male (2021 PPP$) (2008)",62574.92142
"Gross National Income Per Capita, male (2021 PPP$) (2009)",63096.52161
"Gross National Income Per Capita, male (2021 PPP$) (2010)",62602.40068
"Gross National Income Per Capita, male (2021 PPP$) (2011)",65062.75677
"Gross National Income Per Capita, male (2021 PPP$) (2012)",68087.76953
"Gross National Income Per Capita, male (2021 PPP$) (2013)",67767.21151
"Gross National Income Per Capita, male (2021 PPP$) (2014)",67420.44572
"Gross National Income Per Capita, male (2021 PPP$) (2015)",65860.10454
"Gross National Income Per Capita, male (2021 PPP$) (2016)",64499.9452
"Gross National Income Per Capita, male (2021 PPP$) (2017)",66215.62014
"Gross National Income Per Capita, male (2021 PPP$) (2018)",65843.56467
"Gross National Income Per Capita, male (2021 PPP$) (2019)",66624.6682
"Gross National Income Per Capita, male (2021 PPP$) (2020)",66697.03404
"Gross National Income Per Capita, male (2021 PPP$) (2021)",69313.35311
"Gross National Income Per Capita, male (2021 PPP$) (2022)",68018.49975
"Gross National Income Per Capita, male (2021 PPP$) (2023)",68116.13833
Inequality-adjusted Human Development Index (value) (2010),0.838
Inequality-adjusted Human Development Index (value) (2011),0.841
Inequality-adjusted Human Development Index (value) (2012),0.847
Inequality-adjusted Human Development Index (value) (2013),0.844
Inequality-adjusted Human Development Index (value) (2014),0.85
Inequality-adjusted Human Development Index (value) (2015),0.851
Inequality-adjusted Human Development Index (value) (2016),0.856
Inequality-adjusted Human Development Index (value) (2017),0.857
Inequality-adjusted Human Development Index (value) (2018),0.86
Inequality-adjusted Human Development Index (value) (2019),0.861
Inequality-adjusted Human Development Index (value) (2020),0.864
Inequality-adjusted Human Development Index (value) (2021),0.867
Inequality-adjusted Human Development Index (value) (2022),0.867
Inequality-adjusted Human Development Index (value) (2023),0.873
Coefficient of human inequality (2010),9.59873449
Coefficient of human inequality (2011),9.53946619
Coefficient of human inequality (2012),9.448712457
Coefficient of human inequality (2013),9.50031219
